City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
Atuona,PF,light rain,81.07,-9.8,-139.03,Villa Enata
Imbituba,BR,light rain,66.2,-28.24,-48.67,Praia Hotel Imbituba
Tura,IN,light rain,81.9,25.52,90.22,Hotel RIKMAN Continental
Coruripe,BR,light rain,77.94,-10.13,-36.18,Pousada e Hotel Litoral Sul
Kavieng,PG,light rain,83.95,-2.57,150.8,Nusa Island Retreat
Lupiro,TZ,light rain,70.93,-8.38,36.67,
Airai,TL,light rain,73.76,-8.93,125.41,Juvinal Martin
Voh,NC,light rain,67.55,-20.97,164.7,Le gîte du Koniambo
Sola,VU,light rain,82.13,-13.88,167.55,Leumerus Bungalows
Lorengau,PG,moderate rain,83.37,-2.02,147.27,Lorengau Harbourside Hotel
Kisangani,CD,light rain,70.25,0.52,25.2,Grand Ramela Hotel
Manakara,MG,light rain,69.84,-22.13,48.02,La Residence Manakara
Mayumba,GA,light rain,78.1,-3.43,10.66,LIKWALE LODGE
Mackay,AU,light rain,78.01,-21.15,149.2,International Lodge Motel
Itarema,BR,light rain,77.68,-2.92,-39.92,Windvillage
Farafangana,MG,light rain,70.66,-22.82,47.83,Austral Hotel
Portland,US,light rain,66.99,45.52,-122.68,Portland Marriott City Center
Odweyne,SO,light rain,73.74,9.41,45.06,Eng Hiirey House
La Fria,VE,light rain,75.85,8.22,-72.24,Estacionamiento de los toledos.
Pedasi,PA,light rain,82.09,7.53,-80.03,Hotel Casa de Campo Pedasí
Cururupu,BR,moderate rain,76.14,-1.83,-44.87,Pousada Través'cia
San Pedro Carcha,GT,light rain,66.72,15.48,-90.27,CASA CHAJSAQUIL
Carutapera,BR,light rain,77.0,-1.2,-46.02,Lidera
Humberto De Campos,BR,light rain,75.87,-2.6,-43.46,Pousada do Cabeça
Jaque,PA,light rain,81.05,7.52,-78.17,Aventuras Jaque
